Model Name,GS1160
Serial Number,
Time,2016/10/23_02:21:26
Memo,
I-Time,6500
Lv,227.86911
CCT,6031
Duv,0.099939
X,113.458672
Y,227.86911
Z,34.957222
x,0.301523
y,0.605576
u',0.124804
v',0.563976
x10,0.333253
y10,0.587136
u'10,0.142125
v'10,0.563403
dx,-0.02
dy,0.27432
du,-0.078305
dv,0.093146
LambdaD,548
Purity,0.73126
R1,-11.54177
R2,34.761593
R3,59.58091
R4,-12.086939
R5,5.936542
R6,28.129873
R7,53.749016
R8,-16.568985
R9,-336.060486
R10,-23.243839
R11,-32.356014
R12,-3.874027
R13,-4.623065
R14,76.894867
R15,-31.47658
LambdaP,536
LambdaPValue,5.45553
S,1.861363
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0
401nm,0
402nm,0
403nm,0
404nm,0
405nm,0
406nm,0
407nm,0
408nm,0
409nm,0
410nm,0
411nm,0
412nm,0
413nm,0
414nm,0
415nm,0
416nm,0
417nm,0
418nm,0.000035
419nm,0.000189
420nm,0.000464
421nm,0.00087
422nm,0.001346
423nm,0.001876
424nm,0.002181
425nm,0.002239
426nm,0.002331
427nm,0.003021
428nm,0.004311
429nm,0.005827
430nm,0.007218
431nm,0.00854
432nm,0.010078
433nm,0.011854
434nm,0.013848
435nm,0.015904
436nm,0.018056
437nm,0.020827
438nm,0.024196
439nm,0.027995
440nm,0.031519
441nm,0.03477
442nm,0.038484
443nm,0.042844
444nm,0.047872
445nm,0.053004
446nm,0.058195
447nm,0.062967
448nm,0.067185
449nm,0.070742
450nm,0.073814
451nm,0.076499
452nm,0.078071
453nm,0.078506
454nm,0.077693
455nm,0.075998
456nm,0.073723
457nm,0.071068
458nm,0.068543
459nm,0.06621
460nm,0.064387
461nm,0.06303
462nm,0.062026
463nm,0.060939
464nm,0.059858
465nm,0.0598
466nm,0.060797
467nm,0.063079
468nm,0.065919
469nm,0.069355
470nm,0.073637
471nm,0.078526
472nm,0.084185
473nm,0.090202
474nm,0.096575
475nm,0.103059
476nm,0.109496
477nm,0.115818
478nm,0.122013
479nm,0.128095
480nm,0.134343
481nm,0.140811
482nm,0.147598
483nm,0.154579
484nm,0.161714
485nm,0.168515
486nm,0.174901
487nm,0.181257
488nm,0.188176
489nm,0.195761
490nm,0.204277
491nm,0.213509
492nm,0.224057
493nm,0.235643
494nm,0.248495
495nm,0.262744
496nm,0.278055
497nm,0.294972
498nm,0.312909
499nm,0.332301
500nm,0.353377
501nm,0.375889
502nm,0.400177
503nm,0.42537
504nm,0.451615
505nm,0.478342
506nm,0.505421
507nm,0.532466
508nm,0.559264
509nm,0.586077
510nm,0.613367
511nm,0.641011
512nm,0.667743
513nm,0.693343
514nm,0.718203
515nm,0.743441
516nm,0.768451
517nm,0.791368
518nm,0.812073
519nm,0.83076
520nm,0.848965
521nm,0.866487
522nm,0.883507
523nm,0.899988
524nm,0.91436
525nm,0.926859
526nm,0.937364
527nm,0.94753
528nm,0.957368
529nm,0.967132
530nm,0.976937
531nm,0.985121
532nm,0.991429
533nm,0.995396
534nm,0.998208
535nm,0.99994
536nm,1
537nm,0.998852
538nm,0.996941
539nm,0.995415
540nm,0.993982
541nm,0.991888
542nm,0.98901
543nm,0.984743
544nm,0.979547
545nm,0.973953
546nm,0.969098
547nm,0.964727
548nm,0.959821
549nm,0.954141
550nm,0.947953
551nm,0.941776
552nm,0.934654
553nm,0.926088
554nm,0.915999
555nm,0.905189
556nm,0.894138
557nm,0.88234
558nm,0.869951
559nm,0.857147
560nm,0.844584
561nm,0.831852
562nm,0.818144
563nm,0.803335
564nm,0.787265
565nm,0.770574
566nm,0.753377
567nm,0.736259
568nm,0.719049
569nm,0.701512
570nm,0.683662
571nm,0.665788
572nm,0.648063
573nm,0.630062
574nm,0.611635
575nm,0.592389
576nm,0.572507
577nm,0.552471
578nm,0.533402
579nm,0.515407
580nm,0.497267
581nm,0.478253
582nm,0.458148
583nm,0.437671
584nm,0.417215
585nm,0.397352
586nm,0.377947
587nm,0.358269
588nm,0.338201
589nm,0.318959
590nm,0.300881
591nm,0.283614
592nm,0.266098
593nm,0.248464
594nm,0.230997
595nm,0.214062
596nm,0.197976
597nm,0.182729
598nm,0.168199
599nm,0.15394
600nm,0.140826
601nm,0.128645
602nm,0.117638
603nm,0.106934
604nm,0.097025
605nm,0.088008
606nm,0.079987
607nm,0.072725
608nm,0.065972
609nm,0.059884
610nm,0.054213
611nm,0.049008
612nm,0.043943
613nm,0.039494
614nm,0.035609
615nm,0.032642
616nm,0.030278
617nm,0.028398
618nm,0.026614
619nm,0.024942
620nm,0.023743
621nm,0.023015
622nm,0.02244
623nm,0.021696
624nm,0.020844
625nm,0.020019
626nm,0.019329
627nm,0.018758
628nm,0.018199
629nm,0.017512
630nm,0.016862
631nm,0.016449
632nm,0.016286
633nm,0.016184
634nm,0.016024
635nm,0.015778
636nm,0.015421
637nm,0.014901
638nm,0.01434
639nm,0.014084
640nm,0.014193
641nm,0.014399
642nm,0.014397
643nm,0.014209
644nm,0.014023
645nm,0.013872
646nm,0.01376
647nm,0.013495
648nm,0.013008
649nm,0.012318
650nm,0.011623
651nm,0.010991
652nm,0.010416
653nm,0.009969
654nm,0.009653
655nm,0.009536
656nm,0.009591
657nm,0.009775
658nm,0.010004
659nm,0.009978
660nm,0.009471
661nm,0.008689
662nm,0.008098
663nm,0.007942
664nm,0.008041
665nm,0.008064
666nm,0.007842
667nm,0.007486
668nm,0.007294
669nm,0.007349
670nm,0.007424
671nm,0.007268
672nm,0.006843
673nm,0.006252
674nm,0.005576
675nm,0.005055
676nm,0.004869
677nm,0.004963
678nm,0.005138
679nm,0.005159
680nm,0.005013
681nm,0.004757
682nm,0.004431
683nm,0.00434
684nm,0.004715
685nm,0.005156
686nm,0.005098
687nm,0.004258
688nm,0.003007
689nm,0.002205
690nm,0.002181
691nm,0.003153
692nm,0.004649
693nm,0.005623
694nm,0.005689
695nm,0.004948
696nm,0.0042
697nm,0.003634
698nm,0.00309
699nm,0.0028
700nm,0.002784
701nm,0.003066
702nm,0.003295
703nm,0.003183
704nm,0.002893
705nm,0.00288
706nm,0.002961
707nm,0.002417
708nm,0.001509
709nm,0.001122
710nm,0.001561
711nm,0.002122
712nm,0.001958
713nm,0.001236
714nm,0.0012
715nm,0.002176
716nm,0.003669
717nm,0.004297
718nm,0.003715
719nm,0.002713
720nm,0.001762
721nm,0.00132
722nm,0.001144
723nm,0.001386
724nm,0.002104
725nm,0.002263
726nm,0.001583
727nm,0.000485
728nm,0
729nm,0
730nm,0
731nm,0
732nm,0.000439
733nm,0.001383
734nm,0.001787
735nm,0.001348
736nm,0.000404
737nm,0
738nm,0
739nm,0
740nm,0
741nm,0.000543
742nm,0.001421
743nm,0.001729
744nm,0.001222
745nm,0.000461
746nm,0.000234
747nm,0.000198
748nm,0.000082
749nm,0.000001
750nm,0
751nm,0
752nm,0
753nm,0.000075
754nm,0.000251
755nm,0.000606
756nm,0.000961
757nm,0.00114
758nm,0.000976
759nm,0.000549
760nm,0.000286
761nm,0.000383
762nm,0.001065
763nm,0.00146
764nm,0.001172
765nm,0.000487
766nm,0
767nm,0
768nm,0.000155
769nm,0.000524
770nm,0.000664
771nm,0.000509
772nm,0.00014
773nm,0
774nm,0
775nm,0
776nm,0
777nm,0
778nm,0
779nm,0
780nm,0
