Model Name,GS1160
Serial Number,
Time,2016/10/23_02:35:38
Memo,
I-Time,66000
Lv,3.035284
CCT,0
Duv,0.227615
X,5.952526
Y,3.035284
Z,26.738731
x,0.166614
y,0.084959
u',0.180793
v',0.207426
x10,0.159545
y10,0.116503
u'10,0.156457
v'10,0.257059
dx,0.166614
dy,0.084959
du,0.180793
dv,0.207426
LambdaD,465
Purity,0.845244
R1,0
R2,0
R3,0
R4,0
R5,0
R6,0
R7,0
R8,0
R9,0
R10,0
R11,0
R12,0
R13,0
R14,0
R15,0
LambdaP,439
LambdaPValue,0.590375
S,9.944335
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0.000129
398nm,0.000593
399nm,0.001392
400nm,0.002802
401nm,0.004763
402nm,0.007255
403nm,0.009669
404nm,0.011855
405nm,0.013747
406nm,0.01544
407nm,0.016935
408nm,0.018352
409nm,0.019811
410nm,0.021532
411nm,0.024555
412nm,0.028872
413nm,0.034989
414nm,0.042455
415nm,0.051267
416nm,0.061094
417nm,0.07135
418nm,0.082719
419nm,0.096483
420nm,0.112606
421nm,0.130638
422nm,0.149019
423nm,0.167839
424nm,0.188348
425nm,0.210431
426nm,0.235769
427nm,0.265071
428nm,0.298337
429nm,0.352101
430nm,0.427633
431nm,0.526413
432nm,0.63484
433nm,0.749453
434nm,0.849118
435nm,0.918179
436nm,0.956415
437nm,0.979795
438nm,0.999268
439nm,1
440nm,0.970124
441nm,0.909641
442nm,0.846028
443nm,0.795749
444nm,0.765448
445nm,0.753773
446nm,0.75981
447nm,0.776171
448nm,0.791631
449nm,0.805067
450nm,0.814272
451nm,0.819405
452nm,0.821727
453nm,0.824236
454nm,0.826481
455nm,0.826462
456nm,0.824129
457nm,0.818679
458nm,0.811333
459nm,0.801912
460nm,0.790491
461nm,0.777713
462nm,0.763483
463nm,0.748805
464nm,0.733615
465nm,0.717523
466nm,0.700705
467nm,0.682829
468nm,0.664259
469nm,0.644937
470nm,0.624328
471nm,0.602731
472nm,0.581018
473nm,0.560776
474nm,0.542114
475nm,0.526226
476nm,0.512455
477nm,0.502754
478nm,0.496765
479nm,0.495022
480nm,0.50328
481nm,0.519889
482nm,0.545776
483nm,0.574192
484nm,0.604982
485nm,0.635197
486nm,0.663766
487nm,0.685094
488nm,0.697102
489nm,0.698235
490nm,0.685041
491nm,0.661088
492nm,0.623903
493nm,0.580764
494nm,0.53161
495nm,0.480231
496nm,0.428553
497nm,0.378767
498nm,0.331796
499nm,0.288611
500nm,0.249313
501nm,0.213215
502nm,0.18197
503nm,0.153789
504nm,0.129752
505nm,0.108773
506nm,0.090409
507nm,0.076113
508nm,0.064413
509nm,0.055962
510nm,0.04878
511nm,0.042904
512nm,0.038476
513nm,0.034944
514nm,0.031744
515nm,0.027876
516nm,0.023541
517nm,0.019726
518nm,0.016639
519nm,0.014364
520nm,0.012421
521nm,0.010878
522nm,0.009536
523nm,0.008342
524nm,0.007153
525nm,0.005886
526nm,0.004978
527nm,0.004728
528nm,0.005202
