Model Name,GS1160
Serial Number,
Time,2016/10/23_02:37:58
Memo,
I-Time,37200
Lv,5.398102
CCT,0
Duv,0.584184
X,10.72927
Y,5.398102
Z,0.112379
x,0.660679
y,0.332401
u',0.466298
v',0.527858
x10,0.655848
y10,0.336958
u'10,0.457691
v'10,0.529087
dx,0.660679
dy,0.332401
du,0.466298
dv,0.527858
LambdaD,611
Purity,0.975569
R1,0
R2,0
R3,0
R4,0
R5,0
R6,0
R7,0
R8,0
R9,0
R10,0
R11,0
R12,0
R13,0
R14,0
R15,0
LambdaP,765
LambdaPValue,1.300037
S,0.106038
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0
401nm,0
402nm,0
403nm,0
404nm,0
405nm,0
406nm,0
407nm,0
408nm,0
409nm,0
410nm,0
411nm,0
412nm,0
413nm,0
414nm,0
415nm,0
416nm,0
417nm,0
418nm,0.000027
419nm,0.000146
420nm,0.000358
421nm,0.000511
422nm,0.00048
423nm,0.000269
424nm,0.000111
425nm,0.000066
426nm,0.000109
427nm,0.000112
428nm,0.000072
429nm,0.000257
430nm,0.000735
431nm,0.001472
432nm,0.002112
433nm,0.002606
434nm,0.003076
435nm,0.003678
436nm,0.004393
437nm,0.004819
438nm,0.004908
439nm,0.00467
440nm,0.004414
441nm,0.004142
442nm,0.003651
443nm,0.002937
444nm,0.002217
445nm,0.002063
446nm,0.002491
447nm,0.00283
448nm,0.002621
449nm,0.001897
450nm,0.001198
451nm,0.00062
452nm,0.000312
453nm,0.000253
454nm,0.000408
455nm,0.00046
456nm,0.000342
457nm,0.000143
458nm,0.000029
459nm,0.000021
460nm,0.000199
461nm,0.000534
462nm,0.00086
463nm,0.000947
464nm,0.000794
465nm,0.000554
466nm,0.000322
467nm,0.000147
468nm,0.000062
469nm,0.000065
470nm,0.000101
471nm,0.00013
472nm,0.000137
473nm,0.000114
474nm,0.000063
475nm,0.000021
476nm,0
477nm,0
478nm,0
479nm,0
480nm,0
481nm,0
482nm,0
483nm,0
484nm,0
485nm,0
486nm,0
487nm,0
488nm,0
489nm,0
490nm,0
491nm,0
492nm,0
493nm,0
494nm,0
495nm,0
496nm,0
497nm,0
498nm,0
499nm,0.00005
500nm,0.000266
501nm,0.000648
502nm,0.000861
503nm,0.000743
504nm,0.000388
505nm,0.000217
506nm,0.000278
507nm,0.000346
508nm,0.000284
509nm,0.000126
510nm,0.00003
511nm,0.000021
512nm,0.00023
513nm,0.000626
514nm,0.001088
515nm,0.001407
516nm,0.001507
517nm,0.001287
518nm,0.000791
519nm,0.000573
520nm,0.000909
521nm,0.001541
522nm,0.001686
523nm,0.001281
524nm,0.000832
525nm,0.000645
526nm,0.000625
527nm,0.000485
528nm,0.00025
529nm,0.000074
530nm,0
531nm,0
532nm,0
533nm,0
534nm,0
535nm,0
536nm,0
537nm,0
538nm,0.000008
539nm,0.000025
540nm,0.000045
541nm,0.000047
542nm,0.000029
543nm,0.00001
544nm,0
545nm,0
546nm,0
547nm,0
548nm,0
549nm,0
550nm,0
551nm,0
552nm,0
553nm,0
554nm,0
555nm,0
556nm,0
557nm,0
558nm,0
559nm,0
560nm,0
561nm,0
562nm,0
563nm,0
564nm,0
565nm,0
566nm,0
567nm,0
568nm,0
569nm,0
570nm,0.000005
571nm,0.000031
572nm,0.00008
573nm,0.000622
574nm,0.001677
575nm,0.003084
576nm,0.004282
577nm,0.00544
578nm,0.007055
579nm,0.009236
580nm,0.011946
581nm,0.014848
582nm,0.017957
583nm,0.021106
584nm,0.024808
585nm,0.029359
586nm,0.034653
587nm,0.039996
588nm,0.045105
589nm,0.050465
590nm,0.056258
591nm,0.062968
592nm,0.070286
593nm,0.077101
594nm,0.082285
595nm,0.086012
596nm,0.089719
597nm,0.094
598nm,0.09862
599nm,0.10325
600nm,0.109602
601nm,0.117667
602nm,0.135394
603nm,0.163147
604nm,0.206754
605nm,0.262273
606nm,0.329432
607nm,0.405116
608nm,0.486162
609nm,0.573921
610nm,0.66496
611nm,0.733747
612nm,0.777127
613nm,0.777954
614nm,0.757816
615nm,0.707097
616nm,0.639172
617nm,0.553479
618nm,0.456222
619nm,0.35792
620nm,0.272989
621nm,0.207696
622nm,0.166909
623nm,0.140253
