Model Name,GS1160
Serial Number,
Time,2016/10/23_02:27:35
Memo,
I-Time,4300
Lv,98.00293
CCT,5899
Duv,0.097966
X,49.943714
Y,98.00293
Z,13.455935
x,0.309436
y,0.607196
u',0.128032
v',0.565273
x10,0.340481
y10,0.590592
u'10,0.144791
v'10,0.565091
dx,-0.014597
dy,0.273628
du,-0.075931
dv,0.092853
LambdaD,550
Purity,0.762822
R1,-9.308828
R2,33.880291
R3,65.690506
R4,-31.13084
R5,-1.349128
R6,20.444965
R7,40.137882
R8,-16.168924
R9,-310.689514
R10,-32.150787
R11,-60.859795
R12,-16.634594
R13,-4.982203
R14,82.683144
R15,-23.282032
LambdaP,545
LambdaPValue,8.109581
S,1.748702
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0
401nm,0
402nm,0
403nm,0
404nm,0
405nm,0
406nm,0
407nm,0
408nm,0.000038
409nm,0.000124
410nm,0.000242
411nm,0.000273
412nm,0.000209
413nm,0.000097
414nm,0.000042
415nm,0.000044
416nm,0.000055
417nm,0.000047
418nm,0.000026
419nm,0.000022
420nm,0.000037
421nm,0.000053
422nm,0.00005
423nm,0.000029
424nm,0.000041
425nm,0.000092
426nm,0.000153
427nm,0.000156
428nm,0.000101
429nm,0.000038
430nm,0.000005
431nm,0.000036
432nm,0.000221
433nm,0.000557
434nm,0.00098
435nm,0.001363
436nm,0.001702
437nm,0.001941
438nm,0.002095
439nm,0.002079
440nm,0.001879
441nm,0.001495
442nm,0.001217
443nm,0.001155
444nm,0.001321
445nm,0.001535
446nm,0.001784
447nm,0.001829
448nm,0.001599
449nm,0.001123
450nm,0.0007
451nm,0.00038
452nm,0.000187
453nm,0.000068
454nm,0.000067
455nm,0.00032
456nm,0.000808
457nm,0.001345
458nm,0.001672
459nm,0.001822
460nm,0.002166
461nm,0.002774
462nm,0.003589
463nm,0.004368
464nm,0.005157
465nm,0.006479
466nm,0.008346
467nm,0.010595
468nm,0.012639
469nm,0.01451
470nm,0.016796
471nm,0.019587
472nm,0.023201
473nm,0.027447
474nm,0.032341
475nm,0.037861
476nm,0.043724
477nm,0.05046
478nm,0.058179
479nm,0.066969
480nm,0.077579
481nm,0.089573
482nm,0.103119
483nm,0.117115
484nm,0.131526
485nm,0.145782
486nm,0.159692
487nm,0.172054
488nm,0.182411
489nm,0.190349
490nm,0.194638
491nm,0.196046
492nm,0.193519
493nm,0.188823
494nm,0.181726
495nm,0.172845
496nm,0.162883
497nm,0.151842
498nm,0.1405
499nm,0.128981
500nm,0.117797
501nm,0.107023
502nm,0.096968
503nm,0.087421
504nm,0.078885
505nm,0.071639
506nm,0.065608
507nm,0.06087
508nm,0.056726
509nm,0.053364
510nm,0.050366
511nm,0.047722
512nm,0.045278
513nm,0.042874
514nm,0.040822
515nm,0.039229
516nm,0.03799
517nm,0.036519
518nm,0.034675
519nm,0.033049
520nm,0.03199
521nm,0.031635
522nm,0.031656
523nm,0.031972
524nm,0.032371
525nm,0.032692
526nm,0.033557
527nm,0.035362
528nm,0.038426
529nm,0.043015
530nm,0.048808
531nm,0.059009
532nm,0.073216
533nm,0.095836
534nm,0.127751
535nm,0.170169
536nm,0.230505
537nm,0.30435
538nm,0.397631
539nm,0.500994
540nm,0.612613
541nm,0.722023
542nm,0.826177
543nm,0.909114
544nm,0.973684
545nm,1
546nm,0.996123
547nm,0.95503
548nm,0.883008
549nm,0.789783
550nm,0.68029
551nm,0.568694
552nm,0.460921
553nm,0.362081
554nm,0.277386
555nm,0.211191
556nm,0.16056
557nm,0.125794
558nm,0.096615
559nm,0.075426
560nm,0.057792
561nm,0.044724
562nm,0.035312
563nm,0.028585
564nm,0.024516
565nm,0.021529
566nm,0.019969
567nm,0.018969
568nm,0.019464
569nm,0.021969
570nm,0.026646
571nm,0.033624
572nm,0.041949
573nm,0.052468
574nm,0.064205
575nm,0.077413
576nm,0.091099
577nm,0.105066
578nm,0.118894
579nm,0.132198
580nm,0.143213
581nm,0.152111
582nm,0.157746
583nm,0.161759
584nm,0.163042
585nm,0.162262
586nm,0.158864
587nm,0.152557
588nm,0.144045
589nm,0.133969
590nm,0.123732
591nm,0.112408
592nm,0.100012
593nm,0.087083
594nm,0.074854
595nm,0.063984
596nm,0.054646
597nm,0.046699
598nm,0.040149
599nm,0.034283
600nm,0.030017
601nm,0.02681
602nm,0.02557
603nm,0.025475
604nm,0.026898
605nm,0.029186
606nm,0.032263
607nm,0.035998
608nm,0.04024
609nm,0.04522
610nm,0.050655
611nm,0.055083
612nm,0.058115
613nm,0.057861
614nm,0.055346
615nm,0.050285
616nm,0.044474
617nm,0.038069
618nm,0.031186
619nm,0.024477
620nm,0.019043
621nm,0.015164
622nm,0.012764
623nm,0.010904
624nm,0.009244
625nm,0.007343
626nm,0.005773
627nm,0.004807
628nm,0.00437
629nm,0.003886
630nm,0.003465
631nm,0.003265
632nm,0.003014
633nm,0.002307
634nm,0.001397
635nm,0.001037
636nm,0.001276
637nm,0.001346
638nm,0.000915
639nm,0.000667
640nm,0.000972
641nm,0.001192
642nm,0.000847
643nm,0.00028
644nm,0
645nm,0.000313
646nm,0.000959
647nm,0.001656
648nm,0.002044
649nm,0.001832
650nm,0.00123
651nm,0.000529
652nm,0.000095
653nm,0
654nm,0
655nm,0
656nm,0
657nm,0
658nm,0
659nm,0
660nm,0
661nm,0.000064
662nm,0.000258
663nm,0.000464
664nm,0.000475
665nm,0.00028
666nm,0.000074
667nm,0
668nm,0
669nm,0.000069
670nm,0.000308
671nm,0.000578
672nm,0.000609
673nm,0.000371
674nm,0.0001
675nm,0.000116
676nm,0.00051
677nm,0.000939
678nm,0.000973
679nm,0.00058
680nm,0.000151
681nm,0
682nm,0
683nm,0
684nm,0
685nm,0
686nm,0
687nm,0.000068
688nm,0.000247
689nm,0.00039
690nm,0.000352
691nm,0.000173
692nm,0.000031
693nm,0.000168
694nm,0.000549
695nm,0.001193
696nm,0.001938
697nm,0.002026
698nm,0.001389
699nm,0.000659
700nm,0.000548
701nm,0.001056
702nm,0.001536
703nm,0.001976
704nm,0.002406
705nm,0.002852
706nm,0.00352
707nm,0.00461
708nm,0.005699
709nm,0.006329
710nm,0.00632
711nm,0.006084
712nm,0.00592
713nm,0.005789
714nm,0.004886
715nm,0.003354
716nm,0.002067
717nm,0.001698
718nm,0.00182
719nm,0.001533
720nm,0.000923
721nm,0.000401
722nm,0.000081
723nm,0
724nm,0
725nm,0
726nm,0
727nm,0
728nm,0
729nm,0
730nm,0.000097
731nm,0.000353
732nm,0.000508
733nm,0.000445
734nm,0.001308
735nm,0.002829
736nm,0.003476
737nm,0.002929
738nm,0.002671
739nm,0.002974
740nm,0.002443
741nm,0.001024
742nm,0.000252
743nm,0.001454
744nm,0.002856
745nm,0.003177
746nm,0.002404
747nm,0.001724
748nm,0.001619
749nm,0.001465
750nm,0.0015
751nm,0.001837
752nm,0.001914
753nm,0.001325
754nm,0.000664
755nm,0.001253
756nm,0.00286
757nm,0.005207
758nm,0.00662
759nm,0.006943
760nm,0.007703
761nm,0.009295
762nm,0.011337
763nm,0.012493
764nm,0.013133
765nm,0.013455
766nm,0.013643
767nm,0.014156
768nm,0.014014
769nm,0.012345
770nm,0.010011
771nm,0.00879
772nm,0.009895
773nm,0.010798
774nm,0.010904
775nm,0.010938
776nm,0.010876
777nm,0.011317
778nm,0.010941
779nm,0.010941
780nm,0.010941
