Model Name,GS1160
Serial Number,
Time,2016/10/23_02:42:13
Memo,
I-Time,12000
Lv,66.146362
CCT,0
Duv,0.530604
X,115.369949
Y,66.146362
Z,13.185726
x,0.592546
y,0.339731
u',0.402293
v',0.518966
x10,0.59011
y10,0.338585
u'10,0.401244
v'10,0.517995
dx,0.592546
dy,0.339731
du,0.402293
dv,0.518966
LambdaD,608
Purity,0.795577
R1,0
R2,0
R3,0
R4,0
R5,0
R6,0
R7,0
R8,0
R9,0
R10,0
R11,0
R12,0
R13,0
R14,0
R15,0
LambdaP,598
LambdaPValue,3.296476
S,0.326168
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0
401nm,0
402nm,0
403nm,0
404nm,0
405nm,0
406nm,0
407nm,0
408nm,0
409nm,0
410nm,0
411nm,0
412nm,0
413nm,0.000086
414nm,0.000331
415nm,0.000736
416nm,0.001406
417nm,0.002286
418nm,0.003442
419nm,0.004845
420nm,0.006477
421nm,0.008244
422nm,0.009969
423nm,0.011689
424nm,0.014055
425nm,0.01708
426nm,0.020798
427nm,0.02467
428nm,0.028699
429nm,0.03278
430nm,0.036822
431nm,0.040941
432nm,0.045536
433nm,0.050615
434nm,0.05624
435nm,0.062142
436nm,0.068328
437nm,0.074728
438nm,0.081243
439nm,0.088007
440nm,0.095056
441nm,0.10239
442nm,0.109569
443nm,0.116428
444nm,0.122646
445nm,0.127992
446nm,0.132488
447nm,0.135004
448nm,0.135762
449nm,0.134398
450nm,0.13141
451nm,0.127108
452nm,0.12119
453nm,0.114365
454nm,0.106525
455nm,0.097883
456nm,0.088681
457nm,0.079481
458nm,0.070964
459nm,0.06317
460nm,0.055897
461nm,0.048914
462nm,0.0427
463nm,0.03734
464nm,0.032879
465nm,0.029299
466nm,0.026264
467nm,0.023928
468nm,0.021947
469nm,0.020303
470nm,0.018516
471nm,0.016433
472nm,0.014379
473nm,0.012881
474nm,0.011939
475nm,0.011278
476nm,0.010649
477nm,0.009922
478nm,0.008962
479nm,0.007778
480nm,0.006654
481nm,0.005692
482nm,0.005034
483nm,0.004635
484nm,0.004499
485nm,0.004489
486nm,0.004495
487nm,0.004466
488nm,0.00436
489nm,0.004167
490nm,0.003879
491nm,0.003527
492nm,0.00345
493nm,0.003864
494nm,0.004631
495nm,0.004927
496nm,0.004594
497nm,0.004074
498nm,0.003963
499nm,0.004171
500nm,0.004187
501nm,0.00391
502nm,0.004004
503nm,0.00477
504nm,0.00583
505nm,0.006076
506nm,0.005412
507nm,0.005031
508nm,0.005492
509nm,0.006555
510nm,0.007198
511nm,0.007459
512nm,0.008014
513nm,0.009066
514nm,0.010326
515nm,0.011252
516nm,0.011939
517nm,0.012872
518nm,0.014155
519nm,0.015471
520nm,0.016535
521nm,0.017466
522nm,0.018629
523nm,0.020042
524nm,0.02133
525nm,0.022348
526nm,0.023061
527nm,0.023702
528nm,0.024149
529nm,0.024117
530nm,0.023631
531nm,0.02293
532nm,0.022361
533nm,0.021824
534nm,0.021101
535nm,0.020168
536nm,0.019062
537nm,0.017882
538nm,0.016446
539nm,0.014755
540nm,0.01306
541nm,0.011947
542nm,0.011468
543nm,0.011022
544nm,0.010218
545nm,0.00923
546nm,0.008482
547nm,0.008026
548nm,0.007808
549nm,0.007749
550nm,0.00766
551nm,0.007434
552nm,0.007099
553nm,0.006804
554nm,0.006646
555nm,0.006788
556nm,0.007214
557nm,0.007636
558nm,0.007863
559nm,0.008202
560nm,0.008972
561nm,0.010218
562nm,0.011711
563nm,0.013351
564nm,0.015415
565nm,0.017831
566nm,0.021421
567nm,0.026093
568nm,0.032481
569nm,0.040381
570nm,0.050156
571nm,0.06342
572nm,0.079527
573nm,0.100974
574nm,0.125756
575nm,0.156333
576nm,0.190933
577nm,0.231
578nm,0.276813
579nm,0.327211
580nm,0.381699
581nm,0.437537
582nm,0.494942
583nm,0.552783
584nm,0.609835
585nm,0.664924
586nm,0.716681
587nm,0.763992
588nm,0.807154
589nm,0.843714
590nm,0.87601
591nm,0.902302
592nm,0.926055
593nm,0.94521
594nm,0.960912
595nm,0.973167
596nm,0.983643
597nm,0.992726
598nm,0.998048
599nm,1
600nm,0.997961
601nm,0.99459
602nm,0.989961
603nm,0.985422
604nm,0.981175
605nm,0.977282
606nm,0.973038
607nm,0.967209
608nm,0.959744
609nm,0.951643
610nm,0.943922
611nm,0.935811
612nm,0.926994
613nm,0.917177
614nm,0.906993
615nm,0.895849
616nm,0.883786
617nm,0.871261
618nm,0.859244
619nm,0.847946
620nm,0.836853
621nm,0.825636
622nm,0.814542
623nm,0.803622
624nm,0.791889
625nm,0.779157
626nm,0.766315
627nm,0.754372
628nm,0.743238
629nm,0.732061
630nm,0.72098
631nm,0.710191
632nm,0.699332
633nm,0.687864
634nm,0.676238
635nm,0.665602
636nm,0.655739
637nm,0.644889
638nm,0.632682
639nm,0.621148
640nm,0.611374
641nm,0.602045
642nm,0.591672
643nm,0.58004
644nm,0.568069
645nm,0.556731
646nm,0.546421
647nm,0.536393
648nm,0.52556
649nm,0.513738
650nm,0.501639
651nm,0.490099
652nm,0.479512
653nm,0.47003
654nm,0.461002
655nm,0.452042
656nm,0.442959
657nm,0.433938
658nm,0.425282
659nm,0.416374
660nm,0.406334
661nm,0.39587
662nm,0.38663
663nm,0.378697
664nm,0.370514
665nm,0.361125
666nm,0.351086
667nm,0.341276
668nm,0.332001
669nm,0.32341
670nm,0.315509
671nm,0.307892
672nm,0.300262
673nm,0.292715
674nm,0.28581
675nm,0.27959
676nm,0.2736
677nm,0.267682
678nm,0.262332
679nm,0.257142
680nm,0.251159
681nm,0.24406
682nm,0.236467
683nm,0.229201
684nm,0.222346
685nm,0.215961
686nm,0.209982
687nm,0.20455
688nm,0.199719
689nm,0.195008
690nm,0.189926
691nm,0.184869
692nm,0.180436
693nm,0.176121
694nm,0.171155
695nm,0.166266
696nm,0.162294
697nm,0.159421
698nm,0.156659
699nm,0.152893
700nm,0.148224
701nm,0.143315
702nm,0.139116
703nm,0.135474
704nm,0.131567
705nm,0.127064
706nm,0.122285
707nm,0.117713
708nm,0.113947
709nm,0.110892
710nm,0.108031
711nm,0.105033
712nm,0.102056
713nm,0.099371
714nm,0.096803
715nm,0.094079
716nm,0.091429
717nm,0.089145
718nm,0.087253
719nm,0.084994
720nm,0.081816
721nm,0.07783
722nm,0.073622
723nm,0.071007
724nm,0.070026
725nm,0.069104
726nm,0.066953
727nm,0.063403
728nm,0.060296
729nm,0.058151
730nm,0.057041
731nm,0.056689
732nm,0.05605
733nm,0.054872
734nm,0.052979
735nm,0.050762
736nm,0.047996
737nm,0.045121
738nm,0.042634
739nm,0.04126
740nm,0.040799
741nm,0.040273
742nm,0.039419
743nm,0.038642
744nm,0.038153
745nm,0.037382
746nm,0.036209
747nm,0.035192
748nm,0.035384
749nm,0.035834
750nm,0.034877
751nm,0.032928
752nm,0.031369
753nm,0.030506
754nm,0.02932
755nm,0.028824
756nm,0.029446
757nm,0.03012
758nm,0.029172
759nm,0.027455
760nm,0.026501
761nm,0.025813
762nm,0.024752
763nm,0.023574
764nm,0.022922
765nm,0.022667
766nm,0.021917
767nm,0.019987
768nm,0.018974
769nm,0.019656
770nm,0.020363
771nm,0.019912
772nm,0.018089
773nm,0.017553
774nm,0.018116
775nm,0.018109
776nm,0.017487
777nm,0.016423
778nm,0.016194
779nm,0.016194
780nm,0.016194
