Model Name,GS1160
Serial Number,
Time,2016/10/23_02:24:54
Memo,
I-Time,7700
Lv,185.161942
CCT,5982
Duv,0.10196
X,90.994591
Y,185.161942
Z,23.476002
x,0.303687
y,0.617963
u',0.123851
v',0.567044
x10,0.337514
y10,0.59481
u'10,0.142671
v'10,0.565726
dx,-0.018753
dy,0.285858
du,-0.07957
dv,0.09563
LambdaD,549
Purity,0.778547
R1,-17.208235
R2,31.44688
R3,59.54623
R4,-12.356154
R5,2.107171
R6,23.399052
R7,58.301151
R8,-19.217085
R9,-360.267883
R10,-30.951424
R11,-35.94315
R12,-8.095718
R13,-10.062331
R14,76.830528
R15,-36.794964
LambdaP,539
LambdaPValue,4.635054
S,1.758873
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0
401nm,0
402nm,0
403nm,0
404nm,0
405nm,0
406nm,0
407nm,0
408nm,0
409nm,0
410nm,0.000017
411nm,0.000133
412nm,0.00035
413nm,0.000541
414nm,0.000533
415nm,0.000326
416nm,0.000117
417nm,0.000009
418nm,0.000061
419nm,0.000333
420nm,0.000815
421nm,0.001524
422nm,0.002347
423nm,0.003279
424nm,0.004148
425nm,0.004917
426nm,0.005858
427nm,0.007398
428nm,0.009537
429nm,0.011871
430nm,0.014045
431nm,0.016136
432nm,0.018528
433nm,0.021247
434nm,0.024386
435nm,0.027796
436nm,0.031537
437nm,0.036442
438nm,0.042416
439nm,0.048957
440nm,0.054598
441nm,0.059342
442nm,0.063859
443nm,0.068623
444nm,0.073158
445nm,0.076445
446nm,0.078466
447nm,0.078954
448nm,0.078538
449nm,0.076969
450nm,0.074332
451nm,0.070785
452nm,0.066369
453nm,0.061664
454nm,0.056757
455nm,0.052221
456nm,0.048132
457nm,0.044477
458nm,0.040931
459nm,0.037589
460nm,0.035005
461nm,0.033142
462nm,0.032135
463nm,0.031509
464nm,0.031269
465nm,0.031255
466nm,0.031317
467nm,0.031586
