Model Name,GS1160
Serial Number,
Time,2016/10/23_02:05:33
Memo,
I-Time,19200
Lv,14.451966
CCT,0
Duv,0.569538
X,27.747374
Y,14.451966
Z,0.924001
x,0.643442
y,0.335131
u',0.448807
v',0.525953
x10,0.639028
y10,0.339129
u'10,0.441357
v'10,0.527008
dx,0.643442
dy,0.335131
du,0.448807
dv,0.525953
LambdaD,610
Purity,0.932877
R1,0
R2,0
R3,0
R4,0
R5,0
R6,0
R7,0
R8,0
R9,0
R10,0
R11,0
R12,0
R13,0
R14,0
R15,0
LambdaP,613
LambdaPValue,2.089007
S,0.198445
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0.000035
401nm,0.000119
402nm,0.000254
403nm,0.000435
404nm,0.00065
405nm,0.000884
406nm,0.001091
407nm,0.001271
408nm,0.001299
409nm,0.001156
410nm,0.000878
411nm,0.00078
412nm,0.000896
413nm,0.001134
414nm,0.00127
415nm,0.001304
416nm,0.00134
417nm,0.00143
418nm,0.001592
419nm,0.001823
420nm,0.002117
421nm,0.002424
422nm,0.002684
423nm,0.0029
424nm,0.003144
425nm,0.003434
426nm,0.003721
427nm,0.003907
428nm,0.003992
429nm,0.004256
430nm,0.004798
431nm,0.005632
432nm,0.006559
433nm,0.007536
434nm,0.008444
435nm,0.009184
436nm,0.009741
437nm,0.00996
438nm,0.009901
439nm,0.009546
440nm,0.009123
441nm,0.008633
442nm,0.008321
443nm,0.008239
444nm,0.008275
445nm,0.008029
446nm,0.007485
447nm,0.007011
448nm,0.006849
449nm,0.006889
450nm,0.006592
451nm,0.005901
452nm,0.005174
453nm,0.004785
454nm,0.004692
455nm,0.004472
456nm,0.004035
457nm,0.003601
458nm,0.003435
459nm,0.003544
460nm,0.003799
461nm,0.004109
462nm,0.004396
463nm,0.004566
464nm,0.004624
465nm,0.004671
466nm,0.004754
467nm,0.004943
468nm,0.005259
469nm,0.005697
470nm,0.006119
471nm,0.006468
472nm,0.006739
473nm,0.006989
474nm,0.007222
475nm,0.007525
476nm,0.007907
477nm,0.008283
478nm,0.008515
479nm,0.008626
480nm,0.009006
481nm,0.009718
482nm,0.010523
483nm,0.010952
484nm,0.011034
485nm,0.011293
486nm,0.011887
487nm,0.012491
488nm,0.012617
489nm,0.012268
490nm,0.011749
491nm,0.011241
492nm,0.010751
493nm,0.01027
494nm,0.009721
495nm,0.008812
496nm,0.00754
497nm,0.006132
498nm,0.004921
499nm,0.004004
500nm,0.003452
501nm,0.003218
502nm,0.003117
503nm,0.002913
504nm,0.002515
505nm,0.001883
506nm,0.001032
507nm,0.0004
508nm,0.000125
509nm,0.000173
510nm,0.000164
511nm,0.000095
512nm,0.00003
513nm,0
514nm,0
515nm,0
516nm,0
517nm,0
518nm,0
519nm,0
520nm,0
521nm,0
522nm,0
523nm,0
524nm,0
525nm,0
526nm,0.000027
527nm,0.000094
528nm,0.000179
529nm,0.000198
530nm,0.000136
531nm,0.00005
532nm,0.000005
533nm,0.000032
534nm,0.000128
535nm,0.000282
536nm,0.000428
537nm,0.000533
538nm,0.000939
539nm,0.001789
540nm,0.002925
541nm,0.003758
542nm,0.004178
543nm,0.004283
544nm,0.004324
545nm,0.004346
546nm,0.004433
547nm,0.004502
548nm,0.004339
549nm,0.003924
550nm,0.003059
551nm,0.001912
552nm,0.000799
553nm,0.000161
554nm,0
555nm,0
556nm,0
557nm,0
558nm,0
559nm,0
560nm,0
561nm,0
562nm,0
563nm,0
564nm,0
565nm,0
566nm,0.000052
567nm,0.00017
568nm,0.000662
569nm,0.001787
570nm,0.003546
571nm,0.005686
572nm,0.007894
573nm,0.010881
574nm,0.014651
575nm,0.019591
576nm,0.025185
577nm,0.032201
578nm,0.041591
579nm,0.053129
580nm,0.065834
581nm,0.078366
582nm,0.091712
583nm,0.106185
584nm,0.121478
585nm,0.136422
586nm,0.150049
587nm,0.161217
588nm,0.169925
589nm,0.175453
590nm,0.17925
591nm,0.180054
592nm,0.179196
593nm,0.175913
594nm,0.171264
595nm,0.165633
596nm,0.160034
597nm,0.15506
598nm,0.151221
599nm,0.148266
600nm,0.149543
601nm,0.154359
602nm,0.172853
603nm,0.204138
604nm,0.254236
605nm,0.317143
606nm,0.39265
607nm,0.478405
608nm,0.57238
609nm,0.68004
610nm,0.796972
611nm,0.895673
612nm,0.968239
613nm,0.995691
614nm,1
615nm,0.970281
616nm,0.921175
617nm,0.851396
618nm,0.767441
619nm,0.678284
620nm,0.595573
621nm,0.525955
622nm,0.474174
623nm,0.433431
624nm,0.403639
625nm,0.376159
626nm,0.351837
627nm,0.328583
628nm,0.306286
629nm,0.283929
630nm,0.261447
631nm,0.238964
632nm,0.216281
633nm,0.193186
634nm,0.169973
635nm,0.147289
636nm,0.125707
637nm,0.105753
638nm,0.087629
639nm,0.073297
640nm,0.062237
641nm,0.056272
642nm,0.053078
643nm,0.053045
644nm,0.05373
645nm,0.056093
646nm,0.059497
647nm,0.063545
648nm,0.067195
649nm,0.069687
650nm,0.071229
651nm,0.071296
652nm,0.070357
653nm,0.068239
654nm,0.065347
655nm,0.062142
656nm,0.059135
657nm,0.05626
658nm,0.053087
659nm,0.049981
660nm,0.047671
661nm,0.046714
662nm,0.046977
663nm,0.048135
664nm,0.050007
665nm,0.051861
666nm,0.053085
667nm,0.053467
668nm,0.053311
669nm,0.052943
670nm,0.05221
671nm,0.051173
672nm,0.049981
673nm,0.04873
674nm,0.047273
675nm,0.045966
676nm,0.045422
677nm,0.045562
678nm,0.045734
679nm,0.045541
680nm,0.045344
681nm,0.045134
682nm,0.044487
683nm,0.04387
684nm,0.04413
685nm,0.045269
686nm,0.046444
687nm,0.047567
688nm,0.049242
689nm,0.052678
690nm,0.057892
691nm,0.064541
692nm,0.071633
693nm,0.079104
694nm,0.087105
695nm,0.095226
696nm,0.102968
697nm,0.107386
698nm,0.108761
699nm,0.107617
700nm,0.106795
701nm,0.106493
702nm,0.106863
703nm,0.109821
704nm,0.115562
705nm,0.123923
706nm,0.133296
707nm,0.143787
708nm,0.152441
709nm,0.157272
710nm,0.156243
711nm,0.151237
712nm,0.141285
713nm,0.127666
714nm,0.110333
715nm,0.092074
716nm,0.074031
717nm,0.057571
718nm,0.044006
719nm,0.033601
720nm,0.026706
721nm,0.022063
722nm,0.018775
723nm,0.017362
724nm,0.017941
725nm,0.020798
726nm,0.02428
727nm,0.027747
728nm,0.030542
729nm,0.03236
730nm,0.034338
731nm,0.037269
732nm,0.044465
733nm,0.055703
734nm,0.068421
735nm,0.079916
736nm,0.090246
737nm,0.100554
738nm,0.109655
739nm,0.114954
740nm,0.116572
741nm,0.116088
742nm,0.115879
743nm,0.118277
744nm,0.125482
745nm,0.140391
746nm,0.163183
747nm,0.191723
748nm,0.223723
749nm,0.255718
750nm,0.28203
751nm,0.298126
752nm,0.302732
753nm,0.29777
754nm,0.286359
755nm,0.273665
756nm,0.266512
757nm,0.270573
758nm,0.292442
759nm,0.331838
760nm,0.38502
761nm,0.443046
762nm,0.502103
763nm,0.551545
764nm,0.587096
765nm,0.599222
766nm,0.594022
767nm,0.57012
768nm,0.534455
769nm,0.488672
770nm,0.439679
771nm,0.391468
772nm,0.347062
773nm,0.310448
774nm,0.281968
775nm,0.257518
776nm,0.230296
777nm,0.209953
778nm,0.198908
