Model Name,GS1160
Serial Number,
Time,2016/10/23_02:09:17
Memo,
I-Time,1700
Lv,550.6922
CCT,7115
Duv,0.003742
X,521.047668
Y,550.6922
Z,644.514893
x,0.303596
y,0.320869
u',0.194512
v',0.462552
x10,0.307082
y10,0.319406
u'10,0.197521
v'10,0.462259
dx,-0.00132
dy,0.005818
du,-0.003139
dv,0.003054
LambdaD,486
Purity,0.109971
R1,82.840645
R2,91.541222
R3,51.409386
R4,72.625069
R5,94.653557
R6,82.373901
R7,73.460602
R8,51.945438
R9,-12.176327
R10,62.28125
R11,73.232201
R12,45.57832
R13,89.172096
R14,71.935051
R15,67.493858
LambdaP,452
LambdaPValue,21.90246
S,2.314908
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0.00001
401nm,0.000035
402nm,0.000071
403nm,0.000082
404nm,0.000066
405nm,0.00003
406nm,0.000008
407nm,0
408nm,0
409nm,0
410nm,0.000032
411nm,0.000252
412nm,0.000661
413nm,0.001204
414nm,0.001708
415nm,0.002173
416nm,0.00278
417nm,0.003564
418nm,0.004691
419nm,0.006406
420nm,0.008694
421nm,0.011636
422nm,0.014949
423nm,0.01869
424nm,0.023597
425nm,0.029549
426nm,0.037052
427nm,0.045819
428nm,0.055849
429nm,0.067833
430nm,0.081308
431nm,0.096905
432nm,0.115379
433nm,0.136494
434nm,0.161462
435nm,0.189301
436nm,0.220237
437nm,0.256143
438nm,0.295991
439nm,0.34149
440nm,0.390921
441nm,0.444284
442nm,0.502912
443nm,0.565048
444nm,0.631333
445nm,0.699569
446nm,0.769516
447nm,0.834174
448nm,0.89111
449nm,0.9373
450nm,0.97117
451nm,0.994085
452nm,1
453nm,0.993545
454nm,0.972826
455nm,0.939073
456nm,0.895586
457nm,0.84312
458nm,0.78893
459nm,0.733305
460nm,0.679302
461nm,0.627507
462nm,0.579795
463nm,0.535652
464nm,0.495254
465nm,0.458276
466nm,0.423316
467nm,0.391202
468nm,0.360848
469nm,0.332335
470nm,0.305936
471nm,0.280898
472nm,0.258009
473nm,0.236691
474nm,0.217011
475nm,0.199295
476nm,0.182842
477nm,0.168219
478nm,0.154733
479nm,0.14246
480nm,0.13184
481nm,0.122369
482nm,0.114722
483nm,0.108375
484nm,0.103354
485nm,0.099148
486nm,0.095207
487nm,0.091501
488nm,0.087788
489nm,0.08421
490nm,0.08162
491nm,0.080021
492nm,0.079493
493nm,0.079293
494nm,0.079599
495nm,0.080831
496nm,0.082881
497nm,0.086252
498nm,0.090518
499nm,0.095939
500nm,0.102439
501nm,0.109799
502nm,0.118791
503nm,0.128992
504nm,0.140765
505nm,0.153593
506nm,0.167302
507nm,0.1824
508nm,0.198391
509nm,0.215877
510nm,0.234493
511nm,0.254203
512nm,0.27431
513nm,0.294305
514nm,0.314788
515nm,0.336117
516nm,0.358233
517nm,0.380385
518nm,0.402314
519nm,0.423886
520nm,0.445231
521nm,0.465961
522nm,0.485808
523nm,0.504797
524nm,0.523227
525nm,0.541559
526nm,0.558976
527nm,0.575139
528nm,0.589652
529nm,0.602244
530nm,0.613346
531nm,0.622142
532nm,0.629563
533nm,0.635089
534nm,0.63941
535nm,0.64243
536nm,0.642848
537nm,0.641184
538nm,0.637419
539nm,0.633284
540nm,0.628287
541nm,0.621937
542nm,0.614282
543nm,0.604513
544nm,0.593397
545nm,0.581114
546nm,0.569032
547nm,0.556791
548nm,0.54353
549nm,0.529184
550nm,0.514015
551nm,0.49875
552nm,0.482859
553nm,0.466169
554nm,0.448684
555nm,0.430941
556nm,0.413216
557nm,0.395755
558nm,0.378551
559nm,0.361818
560nm,0.345399
561nm,0.329197
562nm,0.312842
563nm,0.296291
564nm,0.280178
565nm,0.264653
566nm,0.249772
567nm,0.235024
568nm,0.220909
569nm,0.207831
570nm,0.195808
571nm,0.184524
572nm,0.173469
573nm,0.162725
574nm,0.152123
575nm,0.14251
576nm,0.13421
577nm,0.127655
578nm,0.122712
579nm,0.118944
580nm,0.116042
581nm,0.11329
582nm,0.111295
583nm,0.110028
584nm,0.109736
585nm,0.109955
586nm,0.110594
587nm,0.111429
588nm,0.112374
589nm,0.113988
590nm,0.116247
591nm,0.118961
592nm,0.121547
593nm,0.123832
594nm,0.125837
595nm,0.127729
596nm,0.129877
597nm,0.132476
598nm,0.135755
599nm,0.139514
600nm,0.144959
601nm,0.151711
602nm,0.161527
603nm,0.173561
604nm,0.190235
605nm,0.211458
606nm,0.237934
607nm,0.268995
608nm,0.302753
609nm,0.337216
610nm,0.370596
611nm,0.401919
612nm,0.432015
613nm,0.452083
614nm,0.461782
615nm,0.456187
616nm,0.441835
617nm,0.42042
618nm,0.397013
619nm,0.374581
620nm,0.35416
621nm,0.338656
622nm,0.339078
623nm,0.35491
624nm,0.393448
625nm,0.443013
626nm,0.512134
627nm,0.591248
628nm,0.684223
629nm,0.7829
630nm,0.871823
631nm,0.939552
632nm,0.975782
633nm,0.98723
634nm,0.972266
635nm,0.927574
636nm,0.856427
637nm,0.757763
638nm,0.646129
639nm,0.533624
640nm,0.431736
641nm,0.34811
642nm,0.275603
643nm,0.225192
644nm,0.187259
645nm,0.170797
646nm,0.16422
647nm,0.165851
648nm,0.16615
649nm,0.162721
650nm,0.156759
651nm,0.147614
652nm,0.136702
653nm,0.123288
654nm,0.107678
655nm,0.091141
656nm,0.075482
657nm,0.062731
658nm,0.053076
659nm,0.04609
660nm,0.040513
661nm,0.035661
662nm,0.03182
663nm,0.028968
664nm,0.026834
665nm,0.025085
666nm,0.023737
667nm,0.022489
668nm,0.021021
669nm,0.019643
670nm,0.019164
671nm,0.019505
672nm,0.01979
673nm,0.019397
674nm,0.018663
675nm,0.017748
676nm,0.01626
677nm,0.014551
678nm,0.0134
679nm,0.012673
680nm,0.011387
681nm,0.009367
682nm,0.007471
683nm,0.006542
684nm,0.006471
685nm,0.00665
686nm,0.006634
687nm,0.006324
688nm,0.006052
689nm,0.00595
690nm,0.005853
691nm,0.005822
692nm,0.005968
693nm,0.005998
694nm,0.005683
695nm,0.005226
696nm,0.004986
697nm,0.005154
698nm,0.005458
699nm,0.005449
700nm,0.00504
701nm,0.004362
702nm,0.00386
703nm,0.00363
704nm,0.003473
705nm,0.003215
706nm,0.002881
707nm,0.002702
708nm,0.002483
709nm,0.001866
710nm,0.001096
711nm,0.000654
712nm,0.000661
713nm,0.0007
714nm,0.00054
715nm,0.000389
716nm,0.000797
717nm,0.00166
718nm,0.002483
719nm,0.00252
720nm,0.001728
721nm,0.000894
722nm,0.000436
723nm,0.000385
724nm,0.000308
725nm,0.000115
726nm,0
727nm,0
728nm,0
729nm,0
730nm,0
731nm,0
732nm,0
733nm,0.000005
734nm,0.000182
735nm,0.000442
736nm,0.000526
737nm,0.000401
738nm,0.000297
739nm,0.000319
740nm,0.000273
741nm,0.000116
742nm,0.000005
743nm,0
744nm,0
745nm,0
746nm,0.000066
747nm,0.000225
748nm,0.000365
749nm,0.000404
750nm,0.000278
751nm,0.000262
752nm,0.000511
753nm,0.000825
754nm,0.001053
755nm,0.001517
756nm,0.001994
757nm,0.001824
758nm,0.001005
759nm,0.000181
760nm,0
761nm,0
762nm,0
763nm,0
764nm,0
765nm,0
766nm,0
767nm,0
768nm,0.000136
769nm,0.000461
770nm,0.000584
771nm,0.000448
