Model Name, AS72625x
Serial Number, 
Time, 2019-02-04_20:07:55
DUT, x220 IPS
Temperature, 32764
X, 57.806433
Y, 94.901364
Z, 25.859375
x, 0.323724
y, 0.531460
410nm,0.928465
435nm,1.947752
460nm,6.160863
485nm,13.545823
510nm,16.609272
535nm,37.000031
560nm,29.175817
585nm,20.318125
610nm,8.469302
645nm,0.759545
680nm,0.974355
705nm,0.351299
730nm,0.910083
760nm,0.862911
810nm,0.895880
860nm,1.113651
900nm,0.606342
940nm,0.000000
TCS Gain, 16
TCS ATime, 460.800018
TCS C, 8085
TCS R, 1572
TCS G, 4120
TCS B, 1535
