Model Name, AS72625x
Serial Number, 
Time, 2019-02-04_20:07:23
DUT, x220 IPS
Temperature, 32764
X, 69.823781
Y, 38.446160
Z, 8.534867
x, 0.597782
y, 0.329149
410nm,0.928465
435nm,1.947752
460nm,2.640370
485nm,0.967559
510nm,0.790918
535nm,0.711539
560nm,0.511856
585nm,9.235512
610nm,54.445511
645nm,10.253853
680nm,10.717909
705nm,2.107791
730nm,2.730250
760nm,1.725822
810nm,2.687640
860nm,1.113651
900nm,0.606342
940nm,0.000000
TCS Gain, 16
TCS ATime, 460.800018
TCS C, 4050
TCS R, 3029
TCS G, 491
TCS B, 459
