Model Name, AS72625x
Serial Number, 
Time, 2019-02-04_20:08:26
DUT, x220 IPS
Temperature, 32764
X, 161.218747
Y, 162.844460
Z, 213.326302
x, 0.300004
y, 0.303029
410nm,1.856929
435nm,18.503647
460nm,88.892456
485nm,45.475266
510nm,30.845791
535nm,48.384655
560nm,32.246956
585nm,30.477188
610nm,61.704914
645nm,11.013398
680nm,10.717909
705nm,2.810389
730nm,3.640333
760nm,2.588733
810nm,2.687640
860nm,2.227302
900nm,0.606342
940nm,0.905118
TCS Gain, 16
TCS ATime, 460.800018
TCS C, 17663
TCS R, 4657
TCS G, 6146
TCS B, 5704
