Model Name,GS1160
Serial Number,
Time,2016/10/21_15:23:48
Memo,
I-Time,11000
Lv,19.188559
CCT,0
Duv,0.244091
X,24.391441
Y,19.188559
Z,102.013412
x,0.167531
y,0.131796
u',0.157807
v',0.279327
x10,0.165255
y10,0.15678
u'10,0.145252
v'10,0.310057
dx,0.167531
dy,0.131796
du,0.157807
dv,0.279327
LambdaD,473
Purity,0.770282
R1,0
R2,0
R3,0
R4,0
R5,0
R6,0
R7,0
R8,0
R9,0
R10,0
R11,0
R12,0
R13,0
R14,0
R15,0
LambdaP,455
LambdaPValue,3.390972
S,6.766444
380nm,0.000179
381nm,0.000179
382nm,0.000179
383nm,0.000222
384nm,0.000248
385nm,0.000231
386nm,0.000129
387nm,0.000095
388nm,0.000155
389nm,0.000269
390nm,0.000283
391nm,0.000196
392nm,0.000081
393nm,0.000015
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0
401nm,0
402nm,0
403nm,0
404nm,0
405nm,0
406nm,0
407nm,0
408nm,0.000123
409nm,0.000399
410nm,0.000789
411nm,0.000971
412nm,0.000916
413nm,0.000798
414nm,0.00093
415nm,0.00131
416nm,0.001619
417nm,0.001724
418nm,0.001767
419nm,0.00228
420nm,0.00328
421nm,0.004788
422nm,0.006536
423nm,0.00854
424nm,0.010932
425nm,0.013634
426nm,0.016831
427nm,0.020483
428nm,0.024591
429nm,0.030025
430nm,0.036739
431nm,0.044919
432nm,0.054087
433nm,0.064038
434nm,0.076273
435nm,0.091134
436nm,0.108777
437nm,0.130089
438nm,0.15413
439nm,0.182604
440nm,0.214858
441nm,0.250892
442nm,0.293722
443nm,0.341788
444nm,0.396881
445nm,0.45711
446nm,0.522114
447nm,0.59051
448nm,0.659401
449nm,0.727716
450nm,0.792235
451nm,0.852873
452nm,0.903962
453nm,0.945862
454nm,0.976449
455nm,0.993677
456nm,1
457nm,0.991662
458nm,0.97443
459nm,0.947873
460nm,0.915027
461nm,0.878908
462nm,0.839271
463nm,0.798522
464nm,0.756805
465nm,0.716337
466nm,0.677556
467nm,0.641286
468nm,0.606713
469nm,0.573834
470nm,0.541612
471nm,0.50932
472nm,0.477356
473nm,0.446103
474nm,0.415638
475nm,0.386919
476nm,0.359629
477nm,0.334176
478nm,0.309591
479nm,0.286003
480nm,0.264787
481nm,0.245557
482nm,0.229035
483nm,0.213982
484nm,0.200482
485nm,0.188469
486nm,0.177321
487nm,0.167305
488nm,0.157855
489nm,0.149089
490nm,0.141358
491nm,0.134445
492nm,0.128867
493nm,0.124229
494nm,0.120613
495nm,0.117691
496nm,0.11516
497nm,0.113214
498nm,0.111636
499nm,0.110668
500nm,0.110593
501nm,0.111319
502nm,0.112531
503nm,0.113657
504nm,0.114881
505nm,0.116538
506nm,0.118639
507nm,0.121042
508nm,0.123486
509nm,0.126019
510nm,0.128638
511nm,0.131288
512nm,0.133491
513nm,0.135208
514nm,0.136756
515nm,0.138682
516nm,0.140896
517nm,0.142894
518nm,0.144562
519nm,0.145628
520nm,0.146276
521nm,0.14652
522nm,0.146734
523nm,0.146935
524nm,0.146389
525nm,0.145079
526nm,0.143165
527nm,0.141432
528nm,0.139822
529nm,0.138063
530nm,0.136093
531nm,0.133588
532nm,0.13065
533nm,0.127277
534nm,0.123844
535nm,0.120411
536nm,0.117028
537nm,0.1137
538nm,0.109977
539nm,0.105666
540nm,0.10091
541nm,0.096373
542nm,0.092196
543nm,0.08818
544nm,0.084105
545nm,0.079805
546nm,0.075257
547nm,0.07061
548nm,0.066331
549nm,0.062499
550nm,0.058701
551nm,0.054635
552nm,0.0506
553nm,0.047014
554nm,0.043785
555nm,0.040434
556nm,0.036817
557nm,0.033559
558nm,0.030844
559nm,0.028566
560nm,0.02615
561nm,0.023701
562nm,0.021475
563nm,0.019525
564nm,0.01784
565nm,0.016259
566nm,0.015077
567nm,0.014283
568nm,0.013759
569nm,0.013079
570nm,0.012293
571nm,0.012016
572nm,0.012369
573nm,0.012928
574nm,0.013172
575nm,0.013423
576nm,0.014148
577nm,0.015475
578nm,0.017253
579nm,0.019332
580nm,0.021769
581nm,0.024393
582nm,0.026792
583nm,0.028737
584nm,0.03022
585nm,0.031624
586nm,0.032978
587nm,0.034226
588nm,0.035364
589nm,0.036364
590nm,0.037292
591nm,0.038113
592nm,0.038886
593nm,0.039288
594nm,0.039191
595nm,0.038861
596nm,0.038971
597nm,0.039535
598nm,0.039705
599nm,0.039132
600nm,0.038356
601nm,0.037964
602nm,0.037797
603nm,0.037428
604nm,0.036864
605nm,0.036271
606nm,0.035628
607nm,0.034828
608nm,0.033955
609nm,0.033407
610nm,0.033263
611nm,0.032816
612nm,0.031733
613nm,0.03038
614nm,0.029435
615nm,0.029098
616nm,0.029113
617nm,0.029301
618nm,0.029351
619nm,0.029184
620nm,0.028944
621nm,0.028666
622nm,0.028035
623nm,0.027054
624nm,0.026217
625nm,0.025825
626nm,0.025602
627nm,0.025108
628nm,0.024338
629nm,0.023536
630nm,0.022953
631nm,0.022713
632nm,0.022609
633nm,0.02223
634nm,0.021562
635nm,0.020958
636nm,0.020587
637nm,0.020316
638nm,0.020005
639nm,0.019667
640nm,0.019304
641nm,0.018694
642nm,0.017846
643nm,0.017201
644nm,0.01698
645nm,0.016963
646nm,0.016721
647nm,0.016372
648nm,0.016144
649nm,0.015902
650nm,0.015487
651nm,0.014854
652nm,0.014143
653nm,0.013746
654nm,0.013868
655nm,0.014119
656nm,0.013889
657nm,0.013313
658nm,0.013037
659nm,0.013007
660nm,0.012617
661nm,0.011761
662nm,0.010899
663nm,0.010511
664nm,0.010682
665nm,0.011088
666nm,0.011308
667nm,0.01117
668nm,0.010926
669nm,0.01077
670nm,0.010599
671nm,0.010305
672nm,0.009877
673nm,0.00949
674nm,0.009359
675nm,0.009419
676nm,0.009387
677nm,0.008976
