Model Name,GS1160
Serial Number,
Time,2016/10/21_15:23:26
Memo,
I-Time,22000
Lv,68.957047
CCT,5517
Duv,0.07951
X,41.064781
Y,68.957047
Z,13.25599
x,0.333108
y,0.559363
u',0.147293
v',0.55651
x10,0.361514
y10,0.542502
u'10,0.164568
v'10,0.555653
dx,0.001043
dy,0.21863
du,-0.059451
dv,0.079194
LambdaD,554
Purity,0.680175
R1,-5.220288
R2,42.937321
R3,77.913033
R4,-4.402982
R5,7.551132
R6,31.495953
R7,59.883354
R8,-18.755074
R9,-328.078644
R10,-13.540188
R11,-22.422234
R12,-11.56789
R13,3.720358
R14,83.863297
R15,-27.376169
LambdaP,553
LambdaPValue,1.642132
S,1.646878
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0
401nm,0
402nm,0
403nm,0
404nm,0
405nm,0
406nm,0
407nm,0
408nm,0
409nm,0
410nm,0
411nm,0
412nm,0
413nm,0
414nm,0
415nm,0
416nm,0
417nm,0
418nm,0
419nm,0
420nm,0
421nm,0
422nm,0
423nm,0
424nm,0
425nm,0
426nm,0.000057
427nm,0.000241
428nm,0.000552
429nm,0.000854
430nm,0.001061
431nm,0.001287
432nm,0.001978
433nm,0.003148
434nm,0.004769
435nm,0.006522
436nm,0.008435
437nm,0.010862
438nm,0.013757
439nm,0.017512
440nm,0.022124
441nm,0.027592
442nm,0.033887
443nm,0.040604
444nm,0.047993
445nm,0.056081
446nm,0.06484
447nm,0.072916
448nm,0.079654
449nm,0.084914
450nm,0.089429
451nm,0.093434
452nm,0.096171
453nm,0.097678
454nm,0.097902
455nm,0.097508
456nm,0.096826
457nm,0.095976
458nm,0.095224
459nm,0.094635
460nm,0.094571
461nm,0.094998
462nm,0.097348
463nm,0.102163
464nm,0.109592
465nm,0.119688
466nm,0.131482
467nm,0.14539
468nm,0.160283
469nm,0.176167
470nm,0.192543
471nm,0.208989
472nm,0.224809
473nm,0.239381
474nm,0.252607
475nm,0.263432
476nm,0.272413
477nm,0.278619
478nm,0.282979
479nm,0.285411
480nm,0.285788
481nm,0.28493
482nm,0.282363
483nm,0.27884
484nm,0.27435
485nm,0.269348
486nm,0.264238
487nm,0.259061
488nm,0.253934
489nm,0.248919
490nm,0.244339
491nm,0.240176
492nm,0.236497
493nm,0.233008
494nm,0.230148
495nm,0.229404
496nm,0.230715
497nm,0.233416
498nm,0.235819
499nm,0.238454
500nm,0.242756
501nm,0.248797
502nm,0.257031
503nm,0.26641
504nm,0.277376
505nm,0.289576
506nm,0.302845
507nm,0.31697
508nm,0.331329
509nm,0.345897
510nm,0.360426
511nm,0.375062
512nm,0.391007
513nm,0.408282
514nm,0.426584
515nm,0.444671
516nm,0.462784
517nm,0.481715
518nm,0.501528
519nm,0.522424
520nm,0.543834
521nm,0.565706
522nm,0.587535
523nm,0.609186
524nm,0.629564
525nm,0.648729
526nm,0.667316
527nm,0.686767
528nm,0.707027
529nm,0.727375
530nm,0.747518
531nm,0.766365
532nm,0.783914
533nm,0.800148
534nm,0.816192
535nm,0.832138
536nm,0.847563
537nm,0.862483
538nm,0.877006
539nm,0.89159
540nm,0.905964
541nm,0.91966
542nm,0.932616
543nm,0.943622
544nm,0.953101
545nm,0.961143
546nm,0.96925
547nm,0.976959
548nm,0.983291
549nm,0.988223
550nm,0.992137
551nm,0.995967
552nm,0.998727
553nm,1
554nm,0.999655
555nm,0.99842
556nm,0.996762
557nm,0.99253
558nm,0.985981
559nm,0.978053
560nm,0.971412
561nm,0.96521
