Model Name,GS1160
Serial Number,
Time,2016/10/21_15:23:07
Memo,
I-Time,30000
Lv,25.902239
CCT,0
Duv,0.530059
X,43.482235
Y,25.902239
Z,2.675364
x,0.603418
y,0.359455
u',0.395255
v',0.529768
x10,0.604425
y10,0.357494
u'10,0.397578
v'10,0.529091
dx,0.603418
dy,0.359455
du,0.395255
dv,0.529768
LambdaD,602
Purity,0.892338
R1,0
R2,0
R3,0
R4,0
R5,0
R6,0
R7,0
R8,0
R9,0
R10,0
R11,0
R12,0
R13,0
R14,0
R15,0
LambdaP,597
LambdaPValue,1.330455
S,0.276567
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0
401nm,0
402nm,0
403nm,0
404nm,0
405nm,0
406nm,0
407nm,0
408nm,0
409nm,0
410nm,0
411nm,0
412nm,0
413nm,0
414nm,0
415nm,0
416nm,0
417nm,0
418nm,0
419nm,0
420nm,0
421nm,0
422nm,0
423nm,0.000017
424nm,0.000326
425nm,0.000929
426nm,0.001794
427nm,0.002628
428nm,0.003431
429nm,0.004385
430nm,0.005541
431nm,0.006914
432nm,0.008386
433nm,0.009924
434nm,0.011668
435nm,0.013657
436nm,0.015886
437nm,0.018145
438nm,0.020345
439nm,0.022804
440nm,0.025904
441nm,0.029643
442nm,0.033463
443nm,0.03702
444nm,0.04051
445nm,0.044504
446nm,0.04902
447nm,0.053597
448nm,0.057852
449nm,0.061527
450nm,0.064212
451nm,0.065964
452nm,0.066644
453nm,0.066783
454nm,0.066242
455nm,0.064852
456nm,0.062756
457nm,0.060013
458nm,0.057152
459nm,0.054114
460nm,0.050593
461nm,0.046629
462nm,0.042522
463nm,0.038814
464nm,0.035536
465nm,0.032775
466nm,0.030376
467nm,0.028305
468nm,0.026233
469nm,0.024162
470nm,0.022108
471nm,0.020074
472nm,0.018359
473nm,0.017191
474nm,0.016554
475nm,0.015862
476nm,0.014872
477nm,0.013616
478nm,0.012391
479nm,0.011207
480nm,0.010212
481nm,0.009395
482nm,0.008697
483nm,0.007918
484nm,0.007063
485nm,0.006232
486nm,0.005457
487nm,0.004888
488nm,0.004568
489nm,0.00449
490nm,0.004455
491nm,0.004368
492nm,0.00413
493nm,0.003736
494nm,0.003245
495nm,0.002985
496nm,0.003005
497nm,0.00305
498nm,0.002836
499nm,0.002407
500nm,0.00206
501nm,0.001859
502nm,0.001863
503nm,0.001989
504nm,0.002218
505nm,0.002417
506nm,0.00257
507nm,0.002896
508nm,0.003428
509nm,0.004031
510nm,0.004392
511nm,0.004535
512nm,0.004812
513nm,0.005334
514nm,0.00593
515nm,0.00632
516nm,0.006609
517nm,0.007222
518nm,0.008222
519nm,0.009422
520nm,0.01053
521nm,0.011462
522nm,0.012198
523nm,0.012759
524nm,0.01337
525nm,0.01413
526nm,0.014678
527nm,0.014691
528nm,0.014221
529nm,0.013768
530nm,0.013516
531nm,0.013642
532nm,0.014033
533nm,0.014371
534nm,0.014109
535nm,0.013239
536nm,0.012222
537nm,0.011376
538nm,0.010778
539nm,0.010312
540nm,0.009922
541nm,0.009416
542nm,0.008772
543nm,0.008318
544nm,0.008147
545nm,0.00787
546nm,0.007037
