Model Name,GS1160
Serial Number,16J00197
Time,2016/10/21_15:24:06
Memo,
I-Time,9500
Lv,111.379799
CCT,6422
Duv,0.006019
X,104.120712
Y,111.379799
Z,116.724297
x,0.313404
y,0.335254
u',0.195993
v',0.471728
x10,0.320009
y10,0.337308
u'10,0.199766
v'10,0.473771
dx,-0.001374
dy,0.010387
du,-0.00486
dv,0.005326
LambdaD,493
Purity,0.066058
R1,76.238922
R2,89.260704
R3,92.736145
R4,70.563759
R5,74.689941
R6,81.104141
R7,80.770576
R8,55.198044
R9,-31.670227
R10,69.55825
R11,67.041969
R12,47.258316
R13,80.940079
R14,97.131538
R15,67.531036
LambdaP,455
LambdaPValue,3.598786
S,2.239361
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0
401nm,0
402nm,0
403nm,0
404nm,0
405nm,0
406nm,0
407nm,0
408nm,0
409nm,0
410nm,0
411nm,0
412nm,0
413nm,0
414nm,0
415nm,0
416nm,0.00007
417nm,0.000215
418nm,0.000592
419nm,0.001509
420nm,0.00296
421nm,0.00468
422nm,0.006235
423nm,0.007677
424nm,0.009954
425nm,0.013121
426nm,0.017168
427nm,0.021305
428nm,0.025532
429nm,0.030684
430nm,0.036877
431nm,0.044452
432nm,0.053615
433nm,0.064201
434nm,0.077296
435nm,0.092613
436nm,0.110319
437nm,0.131775
438nm,0.156183
439nm,0.185392
440nm,0.218699
441nm,0.256104
442nm,0.300367
443nm,0.349759
444nm,0.405837
445nm,0.466416
446nm,0.531144
447nm,0.599411
448nm,0.668828
449nm,0.738101
450nm,0.802897
451nm,0.863012
452nm,0.912656
453nm,0.952639
454nm,0.980872
455nm,0.995799
456nm,1
457nm,0.990457
458nm,0.973188
459nm,0.947695
460nm,0.915792
461nm,0.880101
462nm,0.842033
463nm,0.805471
464nm,0.770526
465nm,0.737445
466nm,0.705637
467nm,0.676556
468nm,0.650219
469nm,0.626611
470nm,0.60398
471nm,0.581149
472nm,0.558055
473nm,0.534825
474nm,0.511503
475nm,0.488961
476nm,0.467259
477nm,0.446144
478nm,0.424654
479nm,0.402898
480nm,0.382669
481nm,0.364134
482nm,0.347589
483nm,0.331747
484nm,0.316704
485nm,0.302965
486nm,0.290234
487nm,0.278603
488nm,0.267278
489nm,0.256436
490nm,0.246949
491nm,0.238698
492nm,0.231767
493nm,0.225222
494nm,0.219468
495nm,0.21573
496nm,0.213884
497nm,0.21379
498nm,0.214046
499nm,0.215057
500nm,0.217492
501nm,0.221266
502nm,0.226532
503nm,0.232455
504nm,0.239166
505nm,0.246292
506nm,0.253739
507nm,0.261802
508nm,0.270302
509nm,0.279407
510nm,0.288832
511nm,0.2986
512nm,0.308817
513nm,0.319342
514nm,0.329948
515nm,0.34028
516nm,0.35047
517nm,0.361061
518nm,0.372137
519nm,0.383426
520nm,0.394555
521nm,0.405016
522nm,0.414343
523nm,0.422574
524nm,0.430478
525nm,0.438662
526nm,0.446864
527nm,0.454689
528nm,0.46209
529nm,0.469187
530nm,0.476107
531nm,0.482604
532nm,0.488768
533nm,0.494001
534nm,0.498
535nm,0.500821
536nm,0.503175
537nm,0.505659
538nm,0.50813
539nm,0.510431
540nm,0.512473
541nm,0.514248
542nm,0.515782
543nm,0.516726
544nm,0.517215
545nm,0.517153
546nm,0.516927
547nm,0.51623
548nm,0.51456
549nm,0.511969
550nm,0.509599
551nm,0.50807
552nm,0.506653
553nm,0.504137
554nm,0.500535
555nm,0.496618
556nm,0.49275
